media,mediana,desvio_padrao,coeficiente_variacao
110073222027,102989510917,22081223186,"20,0604859"
114891696869,105594672045,27601265412,"24,02372509"
122440948224,118566906787,18848139365,"15,39365681"
114832478054,108477265027,25001221924,"21,77190839"
